query,query_language,doc_id,doc_title,doc_snippet,relevant,annotator
education system,en,https://www.dhakatribune.com/bangladesh/education/400598/online-applications-for-mpo-enlistment-open-till,Online applications for MPO enlistment open till Jan 25,The Ministry of Education has issued a public notice inviting online applications for enlistment of non-government schools and colleges under the Mont,Yes,Nuh
education system,en,https://www.thedailystar.net/news/minimum-standard-of-edn-a-must-for-mpo-farruk,Minimum standard of edn a must for MPO: Farruk,"Education Minister Dr. Osman Farruk yesterday said Monthly Pay Order (MPO) and government grants to educational institutions must not be a ""permanent ",Yes,Nuh
education system,en,https://www.newagebd.net/post/politics/279309/no-edn-reform-commission-reflects-neglect-bnp,No edn reform commission reflects neglect: BNP,"Bangladesh Nationalist Party leader Abdul Moyeen Khan alleged that despite many reform commissions were formed in other sectors post uprising, none wa",Yes,Nuh
education system,en,https://www.newagebd.net/post/education/284091/disasters-disrupt-education,Disasters disrupt education,Different natural and human-made disasters are adversely affecting the country’s education sector by lowering quality of education and damaging infras,Yes,Nuh
education system,en,https://www.thedailystar.net/news/education-policy-2o1o-keeping-the-promise,Education policy 2O1O: Keeping the promise,A new National Education Policy was announced by the government in June 2010. It had the potential of initiating a process of much needed reform in th,Yes,Nuh
education system,en,https://www.tbsnews.net/features/pursuit/ai-will-soon-force-bangladesh-rethink-how-students-learn-1283131,AI will soon force Bangladesh to rethink how students learn,"Imagine a dedicated science teacher in a classroom in Dhaka, posing a thoughtful question to his students. ""Think about this overnight,"" he says. ""Who",Yes,Nuh
education system,en,https://www.dhakatribune.com/entertainment/387398/202507251905,AI-powered international English learning app ‘ELSA Speak’ officially launches in Bangladesh,"Language is not just a tool for communication—it is a powerful means of building confidence. Whether it's applying for jobs, studying abroad, attendin",Yes,Nuh
education system,en,https://www.tbsnews.net/bangladesh/education/no-final-exams-class-3-2021,No final exams up to class 3 from 2021,"Students of classes 1, 2 and 3 will not be required to take annual examinations from 2021, but their evaluation will continue round the year, said Akr",Yes,Nuh
education system,en,https://www.newagebd.net/post/campus-bites/279994/aaub-holds-18th-syndicate-meeting,AAUB holds 18th syndicate meeting,"The Aviation and Aerospace University, Bangladesh held its 18th syndicate meeting at the conference room of AAUB in Lalmonirhat on Thursday. AAUB vice",Yes,Nuh
education system,en,https://www.newagebd.net/post/editorial/277422/showpiece-signals-reflect-dhakas-habit-of-superficial-fixes,Showpiece signals reflect Dhaka’s habit of superficial fixes,THE failure of automation attempts in Dhaka’s traffic management is both worrying and symptomatic of a broader inertia in urban governance. Despite re,Yes,Nuh
