query,query_lang,doc_lang,rank,doc_id,title,url,score,confidence,relevant
প্রধানমন্ত্রী,bn,en,1,4614,Be frugal in spending on development projects: PM,https://www.tbsnews.net/economy/be-frugal-spending-development-projects-pm-106330,8.9770,1.0000,
প্রধানমন্ত্রী,bn,en,2,3866,PM Hasina sends mangoes to her Pakistan counterpart,https://www.dhakatribune.com/bangladesh/290300/pm-hasina-sends-mangoes-to-her-pakistan,8.7685,0.9768,
প্রধানমন্ত্রী,bn,en,3,2705,"Reforms body to remove anomalies, says PM",https://www.thedailystar.net/news/reforms-body-to-remove-anomalies-says-pm,8.6565,0.9643,
প্রধানমন্ত্রী,bn,en,4,2920,"Sharif, Hasina witness match",https://www.thedailystar.net/news/sharif-hasina-witness-match,8.5124,0.9482,
প্রধানমন্ত্রী,bn,en,5,2515,Hasina to attend One Asia Assembly in Kuala Lumpur,https://www.thedailystar.net/news/hasina-to-attend-one-asia-assembly-in-kuala-lumpur,8.4022,0.9360,
প্রধানমন্ত্রী,bn,en,6,4410,Macron seeks new PM to end France crisis,https://www.newagebd.net/post/europe/278562/macron-seeks-new-pm-to-end-france-crisis,8.3228,0.9271,
প্রধানমন্ত্রী,bn,en,7,2838,"President, PM greet Myanmar leader, Than Shwe",https://www.thedailystar.net/news/president-pm-greet-myanmar-leader-than-shwe,8.2899,0.9235,
প্রধানমন্ত্রী,bn,en,8,3865,PM Hasina to inaugurate new Foreign Ministry building Thursday,https://www.dhakatribune.com/bangladesh/290308/pm-hasina-to-inaugurate-new-foreign-ministry,8.0824,0.9003,
প্রধানমন্ত্রী,bn,en,9,4860,"2013 Shapla Chattar killings: ICT sets 5 April for probe report against Hasina, 24 others",https://www.tbsnews.net/bangladesh/crime/2013-shapla-chattar-killings-ict-sets-5-april-probe-report-against-hasina-24-others,8.0819,0.9003,
প্রধানমন্ত্রী,bn,en,10,2933,"Hasina, Pranab open locomotives from India",https://www.thedailystar.net/news/hasina-pranab-open-locomotives-from-india,8.0644,0.8983,
প্রধানমন্ত্রী,bn,en,11,2954,Nat'l Social Service Day observed,https://www.thedailystar.net/news/natl-social-service-day-observed,8.0005,0.8912,
প্রধানমন্ত্রী,bn,en,12,4544,Sahara Khatun to be laid to rest on Saturday,https://www.tbsnews.net/bangladesh/obituary/sahara-khatun-be-laid-rest-saturday-104533,7.9530,0.8859,
প্রধানমন্ত্রী,bn,en,13,2636,'No normalization of ties with Pakistan',https://www.thedailystar.net/news/no-normalization-of-ties-with-pakistan,7.9017,0.8802,
