query,query_lang,doc_lang,rank,doc_id,title,url,score,confidence,relevant
প্রধানমন্ত্রী,bn,en,1,1205,"Reforms body to remove anomalies, says PM",https://www.thedailystar.net/news/reforms-body-to-remove-anomalies-says-pm,8.6177,1.0000,
প্রধানমন্ত্রী,bn,en,2,1420,"Sharif, Hasina witness match",https://www.thedailystar.net/news/sharif-hasina-witness-match,8.5494,0.9921,
প্রধানমন্ত্রী,bn,en,3,1015,Hasina to attend One Asia Assembly in Kuala Lumpur,https://www.thedailystar.net/news/hasina-to-attend-one-asia-assembly-in-kuala-lumpur,8.3265,0.9662,
প্রধানমন্ত্রী,bn,en,4,1338,"President, PM greet Myanmar leader, Than Shwe",https://www.thedailystar.net/news/president-pm-greet-myanmar-leader-than-shwe,8.2857,0.9615,
প্রধানমন্ত্রী,bn,en,5,910,Macron seeks new PM to end France crisis,https://www.newagebd.net/post/europe/278562/macron-seeks-new-pm-to-end-france-crisis,8.2132,0.9531,
প্রধানমন্ত্রী,bn,en,6,1433,"Hasina, Pranab open locomotives from India",https://www.thedailystar.net/news/hasina-pranab-open-locomotives-from-india,7.9997,0.9283,
প্রধানমন্ত্রী,bn,en,7,1454,Nat'l Social Service Day observed,https://www.thedailystar.net/news/natl-social-service-day-observed,7.9463,0.9221,
প্রধানমন্ত্রী,bn,en,8,1076,Pak PM to make 'private' India visit,https://www.thedailystar.net/news/pak-pm-to-make-private-india-visit,7.8203,0.9075,
প্রধানমন্ত্রী,bn,en,9,1136,'No normalization of ties with Pakistan',https://www.thedailystar.net/news/no-normalization-of-ties-with-pakistan,7.8110,0.9064,
প্রধানমন্ত্রী,bn,en,10,828,"Canada FM, Modi hold meeting in Delhi",https://www.newagebd.net/post/south%20asia/278939/canada-fm-modi-hold-meeting-in-delhi,7.7329,0.8973,
প্রধানমন্ত্রী,bn,en,11,1115,"President, PM greet Myanmar leader",https://www.thedailystar.net/news/president-pm-greet-myanmar-leader,7.5826,0.8799,
প্রধানমন্ত্রী,bn,en,12,1399,Pakistan selects caretaker PM,https://www.thedailystar.net/news/pakistan-selects-caretaker-pm,7.5072,0.8711,
প্রধানমন্ত্রী,bn,en,13,1109,Former President Biswas says,https://www.thedailystar.net/news/former-president-biswas-says,7.4144,0.8604,
প্রধানমন্ত্রী,bn,en,14,1282,PM comment undemocratic: Fakhrul,https://www.thedailystar.net/news/pm-comment-undemocratic-fakhrul,7.2898,0.8459,
প্রধানমন্ত্রী,bn,en,15,1441,FM urges BNP chief to shun destructive politics,https://www.thedailystar.net/news/fm-urges-bnp-chief-to-shun-destructive-politics,7.2271,0.8386,
প্রধানমন্ত্রী,bn,en,16,1005,Tk 210 crore BSCIC park in Munsiganj on the cards,https://www.thedailystar.net/news/tk-210-crore-bscic-park-in-munsiganj-on-the-cards,7.2117,0.8369,
প্রধানমন্ত্রী,bn,en,17,390,Iraq’s political future in limbo as factions vie for power,https://dailynewnation.com/iraqs-political-future-in-limbo-as-factions-vie-for-power,7.1968,0.8351,
প্রধানমন্ত্রী,bn,en,18,576,NCT deal exceeds interim govt mandate: petitioner,https://www.newagebd.net/post/country/283200/nct-deal-exceeds-interim-govt-mandate-petitioner,7.0094,0.8134,
প্রধানমন্ত্রী,bn,en,19,333,Trump renews call to take over Greenland despite strong objections,https://dailynewnation.com/trump-renews-call-to-take-over-greenland-despite-strong-objections,7.0005,0.8123,
প্রধানমন্ত্রী,bn,en,20,1325,Hasina-Khaleda talks: Plea for special bench,https://www.thedailystar.net/news/hasina-khaleda-talks-plea-for-special-bench,6.9977,0.8120,
প্রধানমন্ত্রী,bn,en,21,667,AI gets centre stage at China–ASEAN Expo,https://www.newagebd.net/post/miscellany/276392/ai-gets-centre-stage-at-chinaasean-expo,6.9778,0.8097,
প্রধানমন্ত্রী,bn,en,22,1044,Khaleda blames it on AL,https://www.thedailystar.net/news/khaleda-blames-it-on-al,6.9265,0.8038,
প্রধানমন্ত্রী,bn,en,23,1361,First day of Ramadan today,https://www.thedailystar.net/news/first-day-of-ramadan-today,6.9077,0.8016,
প্রধানমন্ত্রী,bn,en,24,1070,JUTA's rejoinder and Star's reply,https://www.thedailystar.net/news/jutas-rejoinder-and-stars-reply,6.8941,0.8000,
প্রধানমন্ত্রী,bn,en,25,661,ICT to examine if ex-IGP Mamun eligible to be state evidence,https://www.newagebd.net/post/country/279909/ict-to-examine-if-ex-igp-mamun-eligible-to-be-state-evidence,6.8209,0.7915,
প্রধানমন্ত্রী,bn,en,26,1306,Hasina to visit Pirojpur today,https://www.thedailystar.net/news/hasina-to-visit-pirojpur-today,6.7101,0.7786,
প্রধানমন্ত্রী,bn,en,27,405,"Imran Khan, wife given further jail terms after state gift fraud case",https://dailynewnation.com/imran-khan-wife-given-further-jail-terms-after-state-gift-fraud-case,6.6575,0.7725,
প্রধানমন্ত্রী,bn,en,28,392,Nomination forms collected for Khaleda Zia,https://dailynewnation.com/nomination-forms-collected-for-khaleda-zia,6.6417,0.7707,
প্রধানমন্ত্রী,bn,en,29,24,Thai PM dissolves parliament,https://dailynewnation.com/thai-pm-dissolves-parliament,6.6181,0.7680,
প্রধানমন্ত্রী,bn,en,30,890,"Nepal PM holds first talks since protests with parties, ‘Gen Z’",https://www.newagebd.net/post/south-asia/280689/nepal-pm-holds-first-talks-since-protests-with-parties-gen-z,6.5302,0.7578,
প্রধানমন্ত্রী,bn,en,31,1359,Bangabandhu Film City to built near capital,https://www.thedailystar.net/news/bangabandhu-film-city-to-built-near-capital,6.4960,0.7538,
প্রধানমন্ত্রী,bn,en,32,1290,Pak cabinet orders more security for Nawaz Sharif,https://www.thedailystar.net/news/pak-cabinet-orders-more-security-for-nawaz-sharif,6.4345,0.7467,
প্রধানমন্ত্রী,bn,en,33,813,"25 Interpol red notices sought, 4 issued",https://www.newagebd.net/post/country/277980/25-interpol-red-notices-sought-4-issued,6.4295,0.7461,
প্রধানমন্ত্রী,bn,en,34,1102,Projonmo '71 may split,https://www.thedailystar.net/news/projonmo-71-may-split,6.4140,0.7443,
প্রধানমন্ত্রী,bn,en,35,1250,Ex-army chief enters race denouncing Netanyahu as 'dangerous for Israel',https://www.thedailystar.net/news/ex-army-chief-enters-race-denouncing-netanyahu-as-dangerous-for-israel,6.3359,0.7352,
প্রধানমন্ত্রী,bn,en,36,1060,Last journey to Bangabhaban,https://www.thedailystar.net/news/president-zillurs-body-heads-towards-bangabhaban,6.2719,0.7278,
প্রধানমন্ত্রী,bn,en,37,1144,Are the Fundamentals too Difficult to Comprehended?,https://www.thedailystar.net/news/are-the-fundamentals-too-difficult-to-comprehended,6.1715,0.7161,
প্রধানমন্ত্রী,bn,en,38,1080,Govt to track persons making ill comments about Prophet,https://www.thedailystar.net/news/govt-to-track-persons-making-ill-comments-about-prophet,6.1613,0.7150,
প্রধানমন্ত্রী,bn,en,39,1252,'Library to be set up in every ward of city',https://www.thedailystar.net/news/library-to-be-set-up-in-every-ward-of-city,6.0956,0.7073,
প্রধানমন্ত্রী,bn,en,40,719,Growing India-Taliban ties anger neighbouring Pakistan,https://www.newagebd.net/post/south-asia/279629/growing-india-taliban-ties-anger-neighbouring-pakistan,6.0716,0.7046,
প্রধানমন্ত্রী,bn,en,41,570,Russia negotiates withdrawal from Serbian oil company,https://www.newagebd.net/post/power-energy/281886/russia-negotiates-withdrawal-from-serbian-oil-company,5.9687,0.6926,
